#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
150000,-2685835.996279061,605564.911656973,-2080271.084622088,300.4829829186337,2249.8708355561307,17.6
155000,-2683378.294777412,602921.3472960478,-2080456.947481364,299.1712389760485,2250.2686387128692,17.6
160000,-2687783.871383887,605789.0633249014,-2081994.8080589855,300.594207595805,2247.425693438536,17.6
165000,-2686688.40825624,604689.4686641,-2081998.9395921403,300.0485856858847,2247.563008663362,17.6
170000,-2689285.52187925,604489.7920534703,-2084795.7298257798,299.94950559979293,2246.776492301609,17.6
175000,-2686643.213199593,606011.2960111881,-2080631.917188405,300.7044800689817,2246.8219867086477,17.6
180000,-2684078.644790003,602841.5016165653,-2081237.1431734378,299.13161932919934,2249.384781437033,17.6
185000,-2686753.5146968532,603124.2786895913,-2083629.236007262,299.2719340944181,2248.175744308457,17.6
190000,-2686716.1464432552,605540.5055472654,-2081175.6408959897,300.4708725395394,2248.0958148699196,17.5
195000,-2684552.241520025,605188.7016068599,-2079363.539913165,300.29630645193976,2248.2717976473537,17.5
200000,-2684823.6122691017,603619.0847869742,-2081204.5274821273,299.51745824756154,2247.188839383764,17.5
205000,-2684629.082975803,605484.5214040498,-2079144.5615717531,300.44309305293814,2245.4509649108236,17.5
210000,-2687709.822460385,604144.8972018304,-2083564.9252585545,299.77836782113525,2245.7478851281394,17.5
215000,-2685052.072542947,604340.3436597914,-2080711.7288831554,299.8753488937808,2246.463171659668,17.5
220000,-2687022.799101962,605514.5882468965,-2081508.2108550654,300.4580123034621,2245.152308347329,17.5
225000,-2684472.8167343084,604216.8520745968,-2080255.9646597116,299.814072027882,2246.0582570601277,17.5
230000,-2688239.939605031,604775.8500896413,-2083464.0895153899,300.09144838799267,2244.52315375432,17.5
235000,-2685849.1525882464,603833.7182436334,-2082015.434344613,299.62395996199314,2244.274514887751,17.4
240000,-2687082.415267458,606004.006982677,-2081078.408284781,300.70086323288797,2246.4303252117165,17.4
245000,-2684701.507484922,604758.2657573592,-2079943.241727563,300.082722993712,2246.492480009733,17.4
250000,-2683187.673641909,604890.375002944,-2078297.298638965,300.14827596651526,2245.176822572189,17.4
255000,-2687105.1820104346,604024.8799624094,-2083080.3020480252,299.71881493521227,2244.6498296993764,17.4
260000,-2684009.9188666865,606742.6337032131,-2077267.2851634733,301.0673718531493,2246.0042407717915,17.4
265000,-2687607.7318316717,603933.8403963529,-2083673.8914353186,299.6736408509057,2245.2033265989858,17.4
270000,-2683808.884691963,604611.6324295889,-2079197.252262374,300.00996313118446,2247.343477146415,17.4
275000,-2686612.4372920226,605372.8870724062,-2081239.5502196164,300.3876997890243,2246.4170153732052,17.4
280000,-2686472.3349729516,605425.2395419718,-2081047.0954309797,300.41367722912264,2246.0539269597366,17.4
285000,-2685112.2389111277,605607.7058782344,-2079504.5330328932,300.5042175295049,2245.054695930834,17.4
290000,-2685231.7497981973,605357.4405315781,-2079874.3092666192,300.38003517277184,2248.4093765130674,17.4
295000,-2685574.9407065213,605231.5699247915,-2080343.37078173,300.31757782978354,2245.6553738425087,17.4
300000,-2684140.1973839104,603097.9262473261,-2081042.2711365842,299.2588579397291,2247.679042876691,17.4
305000,-2686333.612831071,602210.9076277805,-2084122.7052032906,298.8187168490306,2250.688145898882,17.4
310000,-2686322.126926761,604127.563642147,-2082194.5632846141,299.76976686091115,2248.2514465298827,17.4
315000,-2685828.4092859197,604815.4994583119,-2081012.9098276077,300.11112251431615,2248.720337026541,17.3
320000,-2685260.258654289,604654.1192374408,-2080606.1394168483,300.03104520267215,2246.9466324989394,17.3
325000,-2687133.5914382488,603150.0088838837,-2083983.582554365,299.2847014879431,2246.243920051362,17.3
330000,-2685053.4512164537,606639.1381503163,-2078414.3130661375,301.0160170737449,2244.9118043034005,17.3
335000,-2684066.598854784,606362.7363052308,-2077703.8625495532,300.878865714251,2246.1740329667814,17.3
340000,-2685374.316164607,606485.824688634,-2078888.4914759733,300.93994251030654,2247.0947463735038,17.3
345000,-2684407.025991533,604142.8286320429,-2080264.1973594902,299.77734139108924,2248.984284355085,17.3
350000,-2686485.7048101425,605017.571423861,-2081468.1333862816,300.2113911821395,2247.8641850160116,17.3
355000,-2684655.8895519674,605740.169775935,-2078915.7197760325,300.5699464816683,2248.7173589741187,17.3
360000,-2684164.790134864,606203.5258463288,-2077961.264288535,300.79986504449323,2250.0386313270465,17.3
365000,-2684198.6886689775,607549.2790816228,-2076649.4095873546,301.46763151944816,2251.7271263784455,17.3
370000,-2684423.5129283797,604504.0068978328,-2079919.506030547,299.9565590448548,2250.070193538159,17.3
375000,-2684527.9341533426,602663.3251949789,-2081864.6089583638,299.0432076963365,2248.6435534275324,17.3
380000,-2686371.256316213,603514.5322223133,-2082856.7240938996,299.4655789759982,2251.800765159755,17.3
385000,-2683997.6316709407,605267.9863725647,-2078729.645298376,300.33564777182204,2249.849956209975,17.3
390000,-2686923.480112372,603807.4055455027,-2083116.0745668693,299.61090352845355,2249.20652957533,17.3
395000,-2686256.02934549,605464.1172553716,-2080791.9120901185,300.4329684579679,2250.7751040497537,17.3
400000,-2682619.292154722,605619.3644999822,-2076999.9276547397,300.51000256984014,2251.2681332348698,17.3
405000,-2684022.6543942783,603044.7101776811,-2080977.9442165974,299.23245197888446,2251.417815790851,17.3
410000,-2685564.412548151,604331.3192972639,-2081233.093250887,299.8708709801517,2250.9977811555946,17.3
415000,-2686903.1365720797,603492.2513315331,-2083410.8852405467,299.4545231364096,2249.0116736056825,17.3
420000,-2686629.451930333,603750.1257632154,-2082879.3261671176,299.5824811421638,2249.110971258962,17.3
425000,-2684776.573326526,604800.4285991243,-2079976.144727402,300.10364431233205,2248.9051032905213,17.3
430000,-2684725.0183937307,605037.0229797525,-2079687.9954139781,300.2210430979361,2249.9933011543485,17.3
435000,-2685090.558763478,603917.0204159687,-2081173.5383475092,299.6652947301494,2249.7104696963706,17.3
440000,-2685164.884032104,605728.6324149782,-2079436.251617126,300.5642216112728,2248.8807965853216,17.3
445000,-2684965.625101017,603581.8663880297,-2081383.7587129872,299.49899037513524,2250.43682690381,17.3
