#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
175000,-2700407.377070293,602432.9306222451,-2097974.4464480476,299.26718607430297,2234.258392894157,16.4
180000,-2702412.6773551684,602620.4381818502,-2099792.2391733183,299.3603331399402,2231.959389632013,16.4
185000,-2701209.0651988126,602723.9274101378,-2098485.137788675,299.4117428962207,2233.765858483914,16.4
190000,-2699124.3381009176,604714.3753616548,-2094409.9627392627,300.40052642248406,2233.6348066096866,16.4
195000,-2699239.645409977,605126.9032891879,-2094112.7421207891,300.60545557853527,2233.632990279811,16.4
200000,-2699582.7132474408,605477.258654756,-2094105.4545926847,300.7794996240215,2236.185723624872,16.4
205000,-2699927.6710255574,602776.1872324,-2097151.4837931574,299.43770371137236,2235.662584122862,16.4
210000,-2702255.9274438377,601916.9263037588,-2100339.001140079,299.0108535391009,2236.123820895539,16.4
215000,-2698759.2537795696,603153.3232052529,-2095605.9305743168,299.62505140706764,2230.215101172512,16.4
220000,-2700033.292405838,604904.8027981692,-2095128.489607669,300.4951239787932,2229.876839131566,16.4
225000,-2698444.5939634517,605353.3342299291,-2093091.2597335225,300.7179383911959,2229.98769387785,16.4
230000,-2700530.463433448,603792.5771203503,-2096737.886313098,299.94260994451446,2229.346497914032,16.4
235000,-2698903.926890483,604916.1517961804,-2093987.7750943028,300.50076175609075,2232.168932681902,16.4
240000,-2703041.5780143235,604995.5862914429,-2098045.991722881,300.54022197923933,2229.4917383706265,16.4
245000,-2698109.779302897,604396.6343747174,-2093713.1449281797,300.24268403667185,2235.588376718433,16.4
250000,-2701587.390455311,606074.3010089976,-2095513.0894463137,301.07608896407714,2233.732079757386,16.4
255000,-2702373.3643169347,604387.1312985411,-2097986.2330183936,300.2379632474823,2231.4690033027355,16.4
260000,-2700470.900555862,605667.4605543463,-2094803.4400015157,300.87398514163357,2232.92950411621,16.4
265000,-2700653.7272572108,604690.624567295,-2095963.1026899158,300.388727875237,2231.9767916711385,16.4
270000,-2699329.6753625683,603427.2482074089,-2095902.4271551594,299.76112757492587,2229.936487479868,16.4
275000,-2700144.525439441,603508.7660763669,-2096635.7593630743,299.80162274379484,2231.894620719482,16.4
280000,-2699996.018745236,603394.1829609534,-2096601.8357842825,299.7447019402027,2233.0831617764197,16.4
285000,-2704572.5704550967,602154.7070492815,-2102417.8634058153,299.12897452983384,2228.897393080648,16.4
290000,-2701754.8854811452,605061.7077126352,-2096693.17776851,300.5730687421795,2228.989699474288,16.4
295000,-2701782.958169963,603547.7524017803,-2098235.205768183,299.82098975928955,2230.2031034909846,16.4
300000,-2700796.508864023,604298.5700869793,-2096497.9387770435,300.1939691973031,2233.46377279747,16.4
305000,-2702108.1311826855,604828.0575182517,-2097280.073664434,300.45699966188096,2234.0895713805517,16.4
310000,-2698584.7412198316,605804.0964360334,-2092780.6447837981,300.94186097270244,2233.4907419034403,16.4
315000,-2701498.257710563,603807.555617519,-2097690.7020930443,299.95005072749865,2232.0213558349797,16.4
