#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
160000,-2677422.65618263,604089.9058537082,-2073332.7503289217,300.0903122510254,2244.5102137974636,16.5
165000,-2681037.732463995,605166.3901251171,-2075871.3423388777,300.62507122979673,2245.4230755369767,16.5
170000,-2675689.0506132357,604834.4521708117,-2070854.598442424,300.4601762971216,2244.7880341554514,16.5
175000,-2676853.6905082315,603529.1418479437,-2073324.5486602879,299.8117447001388,2244.7316610964817,16.5
180000,-2678681.9280403834,602023.1631500504,-2076658.764890333,299.06362821397516,2243.617500705362,16.5
185000,-2680024.7237641253,602238.1386257024,-2077786.585138423,299.1704203602924,2241.9411083449586,16.5
190000,-2678435.8288300745,604553.9726229714,-2073881.856207103,300.3208440648234,2244.4831373688653,16.4
195000,-2681146.4575317744,602174.6553731307,-2078971.8021586437,299.13888414539736,2245.417266895228,16.4
200000,-2677165.244243305,603542.0857163807,-2073623.1585269244,299.81817475216144,2243.4952306802534,16.4
205000,-2676782.8435040377,603004.9509550445,-2073777.8925489932,299.5513453668525,2244.5332181021936,16.4
210000,-2676087.2726287097,601532.4901236721,-2074554.7825050377,298.8198793609117,2244.990019401602,16.4
215000,-2675963.582243575,603125.8239112769,-2072837.758332298,299.6113907389519,2244.5916144593357,16.4
220000,-2678177.4275554735,604791.2377068545,-2073386.189848619,300.43870889325177,2242.95881925741,16.4
225000,-2678272.7367113996,604388.5357539736,-2073884.2009574259,300.2386609308324,2245.0645902798774,16.4
230000,-2677190.6831617,605061.5428019529,-2072129.1403597472,300.57298682043626,2243.094810497475,16.4
235000,-2677668.4785537515,603144.15738876,-2074524.3211649915,299.62049815645594,2240.308767997591,16.4
240000,-2677500.2272172645,602409.74294653,-2075090.4842707345,299.2556672643075,2242.4477046738766,16.4
245000,-2679629.1952103935,603736.2960935235,-2075892.89911687,299.91465153840534,2242.4787195237213,16.3
250000,-2678579.831367977,605421.8425880899,-2073157.988779887,300.7519708992598,2243.7970994014413,16.3
255000,-2677420.995726751,603154.5742086513,-2074266.4215181,299.6256728609222,2240.9353796200753,16.3
260000,-2680434.2288433257,604554.2726835405,-2075879.9561597854,300.3209931242084,2241.6379427538923,16.3
265000,-2677478.1816043295,602810.1358478607,-2074668.0457564688,299.4545681723,2242.2381199967276,16.3
270000,-2677846.607842222,605599.3254139129,-2072247.2824283089,300.84013803482077,2243.7842294733355,16.3
275000,-2679574.251409594,601748.1796013766,-2077826.0718082173,298.9270261979742,2242.8166879017904,16.3
280000,-2678077.918951245,602595.796931938,-2075482.122019307,299.34809224614486,2242.547900820263,16.3
285000,-2679933.815867711,602788.0185187488,-2077145.7973489622,299.44358107230875,2241.5720285804377,16.3
290000,-2678973.4411073234,602633.071821095,-2076340.3692862284,299.3666090811686,2242.4922093068362,16.3
295000,-2679091.859801065,603652.4515050253,-2075439.4082960398,299.87300053828244,2241.431896271974,16.3
300000,-2682972.604975477,604483.4156076211,-2078489.189367856,300.28579385696065,2241.42752953526,16.3
305000,-2679807.812277537,603661.123771184,-2076146.6885063527,299.87730861069724,2243.416660401179,16.3
310000,-2675780.4373929407,604663.6793718843,-2071116.7580210564,300.3753424635192,2243.1990568914307,16.3
315000,-2679515.8471094184,604657.7297000559,-2074858.1174093625,300.3723868788298,2242.5436076120322,16.3
320000,-2681270.8465655856,605262.7422055043,-2076008.1043600813,300.67293550564256,2241.7594697602854,16.3
325000,-2677969.034555439,602868.1236774144,-2075100.9108780245,299.48337445710774,2241.3807114982496,16.3
330000,-2679998.9703464694,604083.2489055414,-2075915.721440928,300.0870053166855,2240.573140572861,16.3
335000,-2680159.979770191,602431.1203475127,-2077728.8594226784,299.26628679440364,2239.810502809779,16.3
340000,-2679342.98539662,603781.7840958417,-2075561.2013007782,299.9372483550167,2241.194691515867,16.3
345000,-2676617.5434673484,604868.2148807584,-2071749.32858659,300.4769484068228,2242.2233436834767,16.3
350000,-2676153.9185420256,602941.3545343383,-2073212.5640076874,299.51975293406593,2243.0298189038876,16.2
355000,-2679825.942307776,602859.6870703563,-2076966.2552374196,299.4791834517262,2241.854906333663,16.2
360000,-2679976.651438875,602634.9361156631,-2077341.715323212,299.367535196195,2241.882051316498,16.2
365000,-2678703.16432471,604065.0227667424,-2074638.1415579678,300.0779512212102,2241.903334775833,16.2
370000,-2681286.259957101,603793.3541733305,-2077492.9057837706,299.942995956711,2241.3205789965446,16.2
375000,-2680282.181661647,605165.5676679591,-2075116.6139936876,300.62466266242467,2241.2015437110817,16.2
380000,-2678361.544529889,604971.9809526475,-2073389.5635772413,300.52849568912717,2240.5507424641487,16.2
385000,-2679412.6192594934,604277.7606105896,-2075134.8586489037,300.183631791882,2242.6165870109567,16.2
390000,-2682027.663051592,601849.2989878537,-2080178.3640637384,298.97725870139544,2241.315501534386,16.2
395000,-2677177.443366766,602002.7052112466,-2075174.7381555194,299.05346543988446,2241.2149947722937,16.2
400000,-2679687.294479547,603650.4121838086,-2076036.8822957384,299.8719874762618,2244.249255323382,16.2
405000,-2675859.1155893095,604055.5260093127,-2071803.5895799967,300.07323357094845,2244.383520389086,16.2
410000,-2679303.2527977433,604242.6175514654,-2075060.6352462778,300.16617397395817,2244.7866553241606,16.2
